"","date","un_region","who_region","country","iso_code","cases_new","cases_total","deaths_new","deaths_total","recovered_new","recovered_total","hosp_new","hosp_total","tested_new","tested_total"
"116",2020-01-19,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"117",2020-01-19,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"118",2020-01-19,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"119",2020-01-19,"Americas","AMRO","United States","US",0,0,0,0,NA,NA,NA,NA,NA,NA
"120",2020-01-20,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"121",2020-01-20,"Asia","WPRO","China","CN",77,202,1,4,NA,NA,NA,NA,NA,NA
"122",2020-01-20,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"123",2020-01-20,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"124",2020-01-20,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"125",2020-01-20,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"126",2020-01-20,"Americas","AMRO","United States","US",1,1,0,0,NA,NA,NA,NA,NA,NA
"127",2020-01-21,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"128",2020-01-21,"Asia","WPRO","China","CN",93,295,2,6,NA,NA,NA,NA,NA,NA
"129",2020-01-21,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"130",2020-01-21,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"131",2020-01-21,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"132",2020-01-21,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"133",2020-01-21,"Americas","AMRO","United States","US",0,1,0,0,NA,NA,NA,NA,NA,NA
"134",2020-01-22,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"135",2020-01-22,"Asia","WPRO","China","CN",147,442,11,17,NA,NA,NA,NA,NA,NA
"136",2020-01-22,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"137",2020-01-22,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"138",2020-01-22,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"139",2020-01-22,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"140",2020-01-22,"Americas","AMRO","United States","US",0,1,0,0,NA,NA,NA,NA,NA,NA
"141",2020-01-23,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"142",2020-01-23,"Asia","WPRO","China","CN",132,574,1,18,NA,NA,NA,NA,NA,NA
"143",2020-01-23,"Europe","EURO","France","FR",0,0,0,0,NA,NA,NA,NA,NA,NA
"144",2020-01-23,"Europe","EURO","Germany","DE",0,1,0,0,NA,NA,NA,NA,NA,NA
"145",2020-01-23,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"146",2020-01-23,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"147",2020-01-23,"Americas","AMRO","United States","US",0,1,0,0,NA,NA,NA,NA,NA,NA
"148",2020-01-24,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"149",2020-01-24,"Asia","WPRO","China","CN",261,835,8,26,NA,NA,NA,NA,NA,NA
"150",2020-01-24,"Europe","EURO","France","FR",3,3,0,0,NA,NA,NA,NA,NA,NA
"151",2020-01-24,"Europe","EURO","Germany","DE",1,2,0,0,NA,NA,NA,NA,NA,NA
"152",2020-01-24,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"153",2020-01-24,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"154",2020-01-24,"Americas","AMRO","United States","US",0,1,0,0,NA,NA,NA,NA,NA,NA
"155",2020-01-25,"Americas","AMRO","Canada","CA",0,0,0,0,NA,NA,NA,NA,NA,NA
"156",2020-01-25,"Asia","WPRO","China","CN",462,1297,16,42,NA,NA,NA,NA,NA,NA
"157",2020-01-25,"Europe","EURO","France","FR",0,3,0,0,NA,NA,NA,NA,NA,NA
"158",2020-01-25,"Europe","EURO","Germany","DE",0,2,0,0,NA,NA,NA,NA,NA,NA
"159",2020-01-25,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"160",2020-01-25,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"161",2020-01-25,"Americas","AMRO","United States","US",0,1,0,0,NA,NA,NA,NA,NA,NA
"162",2020-01-26,"Americas","AMRO","Canada","CA",5,5,0,0,NA,NA,NA,NA,NA,NA
"163",2020-01-26,"Asia","WPRO","China","CN",688,1985,14,56,NA,NA,NA,NA,NA,NA
"164",2020-01-26,"Europe","EURO","France","FR",0,3,0,0,NA,NA,NA,NA,NA,NA
"165",2020-01-26,"Europe","EURO","Germany","DE",0,2,0,0,NA,NA,NA,NA,NA,NA
"166",2020-01-26,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"167",2020-01-26,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"168",2020-01-26,"Americas","AMRO","United States","US",1,2,0,0,NA,NA,NA,NA,NA,NA
"169",2020-01-27,"Americas","AMRO","Canada","CA",0,1,0,0,NA,NA,NA,NA,NA,NA
"170",2020-01-27,"Asia","WPRO","China","CN",776,2761,26,82,NA,NA,NA,NA,NA,NA
"171",2020-01-27,"Europe","EURO","France","FR",0,3,0,0,NA,NA,NA,NA,NA,NA
"172",2020-01-27,"Europe","EURO","Germany","DE",0,2,0,0,NA,NA,NA,NA,NA,NA
"173",2020-01-27,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"174",2020-01-27,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"175",2020-01-27,"Americas","AMRO","United States","US",0,2,0,0,NA,NA,NA,NA,NA,NA
"176",2020-01-28,"Americas","AMRO","Canada","CA",1,2,0,0,NA,NA,NA,NA,NA,NA
"177",2020-01-28,"Asia","WPRO","China","CN",1772,4533,49,131,NA,NA,NA,NA,NA,NA
"178",2020-01-28,"Europe","EURO","France","FR",0,3,0,0,NA,NA,NA,NA,NA,NA
"179",2020-01-28,"Europe","EURO","Germany","DE",0,2,0,0,NA,NA,NA,NA,NA,NA
"180",2020-01-28,"Europe","EURO","Italy","IT",0,0,0,0,NA,NA,NA,NA,NA,NA
"181",2020-01-28,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"182",2020-01-28,"Americas","AMRO","United States","US",1,3,0,0,NA,NA,NA,NA,NA,NA
"183",2020-01-29,"Americas","AMRO","Canada","CA",0,2,0,0,NA,NA,NA,NA,NA,NA
"184",2020-01-29,"Asia","WPRO","China","CN",1464,5997,2,133,NA,NA,NA,NA,NA,NA
"185",2020-01-29,"Europe","EURO","France","FR",1,4,0,0,NA,NA,NA,NA,NA,NA
"186",2020-01-29,"Europe","EURO","Germany","DE",2,4,0,0,NA,NA,NA,NA,NA,NA
"187",2020-01-29,"Europe","EURO","Italy","IT",2,2,0,0,NA,NA,NA,NA,NA,NA
"188",2020-01-29,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"189",2020-01-29,"Americas","AMRO","United States","US",0,3,0,0,NA,NA,NA,NA,NA,NA
"190",2020-01-30,"Americas","AMRO","Canada","CA",1,3,0,0,NA,NA,NA,NA,NA,NA
"191",2020-01-30,"Asia","WPRO","China","CN",1739,7736,38,171,NA,NA,NA,NA,NA,NA
"192",2020-01-30,"Europe","EURO","France","FR",1,5,0,0,NA,NA,NA,NA,NA,NA
"193",2020-01-30,"Europe","EURO","Germany","DE",2,6,0,0,NA,NA,NA,NA,NA,NA
"194",2020-01-30,"Europe","EURO","Italy","IT",0,2,0,0,NA,NA,NA,NA,NA,NA
"195",2020-01-30,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"196",2020-01-30,"Americas","AMRO","United States","US",0,3,0,0,NA,NA,NA,NA,NA,NA
"197",2020-01-31,"Americas","AMRO","Canada","CA",0,3,0,0,NA,NA,NA,NA,NA,NA
"198",2020-01-31,"Asia","WPRO","China","CN",1984,9720,42,213,NA,NA,NA,NA,NA,NA
"199",2020-01-31,"Europe","EURO","France","FR",1,6,0,0,NA,NA,NA,NA,NA,NA
"200",2020-01-31,"Europe","EURO","Germany","DE",0,6,0,0,NA,NA,NA,NA,NA,NA
"201",2020-01-31,"Europe","EURO","Italy","IT",1,3,0,0,NA,NA,NA,NA,NA,NA
"202",2020-01-31,"Europe","EURO","United Kingdom","GB",0,0,0,0,NA,NA,NA,NA,NA,NA
"203",2020-01-31,"Americas","AMRO","United States","US",0,3,0,0,NA,NA,NA,NA,NA,NA
"204",2020-02-01,"Americas","AMRO","Canada","CA",1,4,0,0,NA,NA,NA,NA,NA,NA
"205",2020-02-01,"Asia","WPRO","China","CN",2101,11821,46,259,NA,NA,NA,NA,NA,NA
"206",2020-02-01,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"207",2020-02-01,"Europe","EURO","Germany","DE",5,11,0,0,NA,NA,NA,NA,NA,NA
"208",2020-02-01,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"209",2020-02-01,"Europe","EURO","United Kingdom","GB",1,1,0,0,NA,NA,NA,NA,NA,NA
"210",2020-02-01,"Americas","AMRO","United States","US",0,3,0,0,NA,NA,NA,NA,NA,NA
"211",2020-02-02,"Americas","AMRO","Canada","CA",0,4,0,0,NA,NA,NA,NA,NA,NA
"212",2020-02-02,"Asia","WPRO","China","CN",2590,14411,102,361,NA,NA,NA,NA,NA,NA
"213",2020-02-02,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"214",2020-02-02,"Europe","EURO","Germany","DE",1,12,0,0,NA,NA,NA,NA,NA,NA
"215",2020-02-02,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
